sku,brands,model_no,laptop_processor,laptop_ram,storage_capacity,webcam,screen_size,laptop_operating_system,warrenty,laptop_warranty_summary,laptop_remark
QCNBBG00295,Dell,LATITUDE E6230,Intel Core i5 3rd Gen,4 GB,320 GB,Yes,31.7 cm(12.5 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002325,Dell,LATITUDE E6320,Intel Core i5 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00153,Dell,LATITUDE E6320,Intel Core i5 2nd Gen,4 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00274,Dell,LATITUDE E6320,Intel Core i5 2nd Gen,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00232,Dell,LATITUDE E6320,Intel Core i5 2nd Gen,4 GB,250 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00156,Dell,LATITUDE E6320,Intel Core i7 2nd Gen,4 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00298,Dell,LATITUDE E6410,Intel Core i5,4 GB,160 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00024,Dell,LATITUDE E6410,Intel Core i5,4 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00234,Dell,LATITUDE E6410,Intel Core i5,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00297,Dell,LATITUDE E6410,Intel Core i5,4 GB,250 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00041,Dell,LATITUDE E6410,Intel Core i5,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00235,Dell,LATITUDE E6410,Intel Core i5,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00167,Dell,LATITUDE E6410,Intel Core i7,4 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00236,Dell,LATITUDE E6420,Intel Core i5 2nd Gen,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00201,Dell,LATITUDE E6420,Intel Core i5 2nd Gen,4 GB,250 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00237,Dell,LATITUDE E6420,Intel Core i5 2nd Gen,4 GB,250 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00238,Dell,LATITUDE E6420,Intel Core i5 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00278,Dell,LATITUDE E6420,Intel Core i7 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00294,Dell,LATITUDE E6420,Intel Core i7 2nd Gen,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00277,Dell,LATITUDE E6420,Intel Core i7 2nd Gen,4 GB,250 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00249,Dell,LATITUDE E6420,Intel Core i7 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00188,Dell,LATITUDE E6430,Intel Core i5 3rd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00243,Dell,LATITUDE E6430,Intel Core i7 3rd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00279,Dell,LATITUDE E6430,Intel Core i7 3rd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00246,Dell,LATITUDE E6510,Intel Core i5,4 GB,250 GB,No,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00287,Dell,LATITUDE E6530,Intel Core i7 3rd Gen,8 GB,500 GB,No,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00288,Dell,LATITUDE E6530,Intel Core i7 3rd Gen,4 GB,500 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00286,Dell,LATITUDE E6530,Intel Core i7 3rd Gen,8 GB,500 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00025,Dell,LATITUDE E7440,Intel Core i7 4th Gen,8 GB,240 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00247,Dell,LATITUDE E7440,Intel Core i7 4th Gen,8 GB,256 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00019,Dell,LATITUDE E7440,Intel Core i7 4th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00248,Dell,LATITUDE E7440,Intel Core i7 4th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00021,Dell,LATITUDE E7450,Intel Core i7 5th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00250,Dell,LATITUDE E7450,Intel Core i7 5th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00254,Dell,PRECISION M4600,Intel Core i7 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002303,Dell,STUDIO 1457,Intel Core i7,4 GB,500 GB,No,39.6 cm (15.6 Inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00216,HP,ELITEBOOK 840 G1,Intel Core i7 4th Gen,8 GB,240 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00017,HP,ELITEBOOK 840 G1,Intel Core i7 4th Gen,8 GB,256 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00215,HP,ELITEBOOK 840 G1,Intel Core i7 4th Gen,8 GB,256 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00190,HP,ELITEBOOK 840 G1,Intel Core i7 4th Gen,8 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00214,HP,ELITEBOOK 840 G1,Intel Core i7 4th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00071,HP,ELITEBOOK 840 G1,Intel Core i7 4th Gen,8 GB,240 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00020,HP,ELITEBOOK 840 G2,Intel Core i7 5th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00164,HP,ELITEBOOK 840 G2,Intel Core i7 5th Gen,8 GB,240 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00217,HP,ELITEBOOK 840 G2,Intel Core i7 5th Gen,8 GB,512 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00269,HP,ELITEBOOK 8440P,Intel Core i5,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00108,HP,ELITEBOOK 8560W,Intel Core i7 2nd Gen,4 GB,320 GB,No,39.6 cm (15.6 Inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002321,HP,PAVILION DV6,Intel Core i7 2nd Gen,4 GB,640 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00253,HP,PAVILION DV6,Intel Core i7,6 GB,500 GB,Yes,39.6 cm (15.6 Inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00048,HP,PROBOOK 640 G1,Intel Core i5 4th Gen,4 GB,500 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00066,HP,SPECTRE PRO X360 G1,Intel Core i7 5th Gen,8 GB,512 GB,Yes,33.7 cm(13.3 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00082,HP,SPECTRE PRO X360 G2,Intel Core i7 6th Gen,8 GB,512 GB,Yes,33.7 cm(13.3 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00037,Lenovo,THINKPAD L412,Intel Core i5,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00049,Lenovo,THINKPAD T430,Intel Core i5 3rd Gen,8 GB,250 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00047,Lenovo,THINKPAD X201,Intel Core i5,4 GB,320 GB,No,30.7 cm(12.1 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002153,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002165,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002154,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002156,Lenovo,THINKPAD T420,Intel Core i7 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00163,Lenovo,THINKPAD L412,Intel Core i5,4 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00256,Lenovo,THINKPAD L412,Intel Core i5,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00168,Lenovo,THINKPAD L412,Intel Core i5,2 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00255,Lenovo,THINKPAD L412,Intel Core i5,4 GB,250 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00203,Lenovo,THINKPAD L420,Intel Core i5 2nd Gen,4 GB,160 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBB002328,Lenovo,THINKPAD L420,Intel Core i5 2nd Gen,4 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00209,Lenovo,THINKPAD L430,Intel Core i5 3rd Gen,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00259,Lenovo,THINKPAD T410,Intel Core i5,4 GB,250 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00260,Lenovo,THINKPAD T410,Intel Core i5,4 GB,320 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00185,Lenovo,THINKPAD T410,Intel Core i5,4 GB,250 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00055,Lenovo,THINKPAD T410,Intel Core i5,4 GB,250 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00053,Lenovo,THINKPAD T410,Intel Core i5,4 GB,320 GB,No,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00261,Lenovo,THINKPAD T410,Intel Core i5,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00299,Lenovo,THINKPAD T410,Intel Core i5,4 GB,500 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00206,Lenovo,THINKPAD T410i,Intel Core i5,4 GB,320 GB,Yes,35.5 cm(14 inches),NO OS,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00284,Lenovo,THINKPAD T420,Intel Core i5 2nd Gen,4 GB,160 GB,Yes,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
QCNBBG00281,Lenovo,THINKPAD T420,Intel Core i5 2nd Gen,4 GB,320 GB,No,35.5 cm(14 inches),Windows 10 Home,1 Month Warranty.,1 Month warranty,"This product is tested and certified to work. ODD may not be functional. May have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 Month Warranty."
