store,websites,attribute_set,type,category_ids,sku,status,is_recurring,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,is_in_stock,product_name,product_type_id,laptop_warranty_summary,laptop_battery,price,mapped_status,color
admin,base,Laptops,simple,"3,11",QCNBB001955,2,No,"Catalog, Search",GST0.36,Asus,,QCNBK-B,"Asus-Eeepc 1015cx(Atom N2600 1.60GHz/1GB/320GB 11"")Eeepc 1015cx",1 Year  Warranty.,Eeepc 1015cx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Asus-Eeepc 1015cx(Atom N2600 1.60GHz/1GB/320GB 11"")Eeepc 1015cx",simple,1 Year  Warranty.,10.8V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0486,2,No,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,HP-Pavilion G6-2005TX(Core i5 2450M 2.50GHz/4GB/500GB 15.6')Pavilion G6-2005TX,1 Year  Warranty.,Pavilion G6-2005TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,HP-Pavilion G6-2005TX(Core i5 2450M 2.50GHz/4GB/500GB 15.6')Pavilion G6-2005TX,simple,1 Year  Warranty.,10.8V--48Wh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001956,2,No,"Catalog, Search",GST0.36,Lenovo,Core i5,QCNBK-B,"Lenovo-Thinkpad T420(Core i5 2520M 2.50GHz/4GB/320GB 14"")Thinkpad T420",1 Year  Warranty.,Thinkpad T420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-Thinkpad T420(Core i5 2520M 2.50GHz/4GB/320GB 14"")Thinkpad T420",simple,1 Year  Warranty.,11.1V--49WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001940,2,No,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-C720(Celeron 2957/2GB/16GB 11.6"")C720",1 Year  Warranty.,C720,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-C720(Celeron 2957/2GB/16GB 11.6"")C720",simple,1 Year  Warranty.,In Build,0.00,No,Grey
admin,base,Laptops,simple,"3,11",SYGNBQB0487,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-XPS L321X(Core i5 2467M 1.60GHz/4GB/120GB 11"")XPS L321X",1 Year  Warranty.,XPS L321X,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-XPS L321X(Core i5 2467M 1.60GHz/4GB/120GB 11"")XPS L321X",simple,1 Year  Warranty.,Inbuild,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001957,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Vostro 1450(Core i3 2310M 2.30GHz/2GB/500GB 15.6"")Vostro 1450",1 Year  Warranty.,Vostro 1450,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 1450(Core i3 2310M 2.30GHz/2GB/500GB 15.6"")Vostro 1450",simple,1 Year  Warranty.,11.1V--48WH,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001941,2,No,"Catalog, Search",GST0.36,Acer ,,QCNBK-B,"Acer -Aspire 5920(Core 2 Duo T5550 1.83GHz/3GB/320GB 15.6"")Aspire 5920",1 Year  Warranty.,Aspire 5920,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer -Aspire 5920(Core 2 Duo T5550 1.83GHz/3GB/320GB 15.6"")Aspire 5920",simple,1 Year  Warranty.,10.8V--4400mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001942,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Insp 3521(Core I3 3227U 1.90GHz/6GB/1TB 15.6"")Insp 3521",1 Year  Warranty.,Insp 3521,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp 3521(Core I3 3227U 1.90GHz/6GB/1TB 15.6"")Insp 3521",simple,1 Year  Warranty.,11.1V--65WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001943,2,No,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,"Samsung-N300E5E(Pentium 2117U 1.80GHz/2GB/500GB 15.6"")N300E5E",1 Year  Warranty.,N300E5E,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung-N300E5E(Pentium 2117U 1.80GHz/2GB/500GB 15.6"")N300E5E",simple,1 Year  Warranty.,11.1V--48Wh,0.00,No,Silver
admin,base,Laptops,simple,"3,11",QCNBB001944,2,No,"Catalog, Search",GST0.36,Acer,,QCNBK-B,"Acer-Aspire 5920(Core 2 Duo T5550 1.83GHz/2GB/160GB 15.4"")Aspire 5920",1 Year  Warranty.,Aspire 5920,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 5920(Core 2 Duo T5550 1.83GHz/2GB/160GB 15.4"")Aspire 5920",simple,1 Year  Warranty.,10.8V--4000mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0488,2,No,"Catalog, Search",GST0.36,Samsung,Core i3,QCNBK-B,"Samsung-NP300E5X(Core I3 2328M 2.20GHz/2GB/500GB 15.6"")NP300E5X",1 Year  Warranty.,NP300E5X,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Samsung-NP300E5X(Core I3 2328M 2.20GHz/2GB/500GB 15.6"")NP300E5X",simple,1 Year  Warranty.,11.1V--4400MAH,0.00,No,Grey
admin,base,Laptops,simple,"3,11",SYGNBQB0489,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Insp N4050(Core I3 2350M 2.30GHz/2GB/500GB 14.0"")Insp N4050",1 Year  Warranty.,Insp N4050,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp N4050(Core I3 2350M 2.30GHz/2GB/500GB 14.0"")Insp N4050",simple,1 Year  Warranty.,11.1V--4080mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001945,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-620(Celeron Dual Core T3300 2.00GHz/2GB/250GB 15.6"")620",1 Year  Warranty.,620,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-620(Celeron Dual Core T3300 2.00GHz/2GB/250GB 15.6"")620",simple,1 Year  Warranty.,10.8V--4400mAh,0.00,No,Black 
admin,base,Laptops,simple,"3,11",SYGNBQB0490,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavilion Dv2000-2046tu(Pentium T2050 1.60GHz/2GB/320GB 14"")Pavilion Dv2000-2046tu",1 Year  Warranty.,Pavilion Dv2000-2046tu,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavilion Dv2000-2046tu(Pentium T2050 1.60GHz/2GB/320GB 14"")Pavilion Dv2000-2046tu",simple,1 Year  Warranty.,10.8v--4400mah,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0491,2,No,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,Dell-Insp N5110(Core i3 2350M 2.30GHz/2GB/500GB 15.6')Insp N5110,1 Year  Warranty.,Insp N5110,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,Dell-Insp N5110(Core i3 2350M 2.30GHz/2GB/500GB 15.6')Insp N5110,simple,1 Year  Warranty.,11.1V--48WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0492,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71211W(Core i3 330M 2.13GHz/4GB/1TB 15.6"")PCG-71211W",1 Year  Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG-71211W(Core i3 330M 2.13GHz/4GB/1TB 15.6"")PCG-71211W",simple,1 Year  Warranty.,11.1V--39WH,0.00,No,Blue
admin,base,Laptops,simple,"3,11",QCNBB001946,2,No,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,"HP-15-(E039TX)(Core I5 3230M 2.60GHz/4GB/1TB 15.6"")15-(E039TX)",1 Year  Warranty.,15-(E039TX),1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-15-(E039TX)(Core I5 3230M 2.60GHz/4GB/1TB 15.6"")15-(E039TX)",simple,1 Year  Warranty.,10.8V--47Wh,0.00,No,White
admin,base,Laptops,simple,"3,11",QCNBB001947,2,No,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,"HP-Pavillion G6-1301TX(Core I5 M480 2.67GHz/2GB/500GB 15.6"")Pavillion G6-1301TX",1 Year  Warranty.,Pavillion G6-1301TX,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavillion G6-1301TX(Core I5 M480 2.67GHz/2GB/500GB 15.6"")Pavillion G6-1301TX",simple,1 Year  Warranty.,10.8V--4400mAh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",SYGNBQB0493,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Insp 5520(Core i5 3210M 2.50GHz/4GB/1TB 15.6"")Insp 5520",1 Year  Warranty.,Insp 5520,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp 5520(Core i5 3210M 2.50GHz/4GB/1TB 15.6"")Insp 5520",simple,1 Year  Warranty.,11.1V--56WH,0.00,No,Grey
admin,base,Laptops,simple,"3,11",SYGNBQB0494,2,No,"Catalog, Search",GST0.36,Sony,Core i5,QCNBK-B,"Sony-PCG-71211W(Core I5 M480 2.67GHz/4GB/500GB 15.6"")PCG-71211W",1 Year  Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG-71211W(Core I5 M480 2.67GHz/4GB/500GB 15.6"")PCG-71211W",simple,1 Year  Warranty.,11.1V--39WH,0.00,No,Black
admin,base,Laptops,simple,"3,11",SYGNBQB0495,2,No,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion DV2500(Pentium T2310 1.46GHz/2GB/160GB 14.0"")Pavillion DV2500",1 Year  Warranty.,Pavillion DV2500,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavillion DV2500(Pentium T2310 1.46GHz/2GB/160GB 14.0"")Pavillion DV2500",simple,1 Year  Warranty.,10.8V--4200mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001958,2,No,"Catalog, Search",GST0.36,Sony,,QCNBK-B,"Sony-PCG-5k6p(Core 2 Duo T8100 2.10GHz/2GB/200GB 14.0"")PCG-5k6p",1 Year  Warranty.,PCG-5k6p,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG-5k6p(Core 2 Duo T8100 2.10GHz/2GB/200GB 14.0"")PCG-5k6p",simple,1 Year  Warranty.,11.1V--4800mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001948,2,No,"Catalog, Search",GST0.36,Sony,Core i3,QCNBK-B,"Sony-PCG-71211W(Core I3 M370 2.40GHz/4GB/500GB 15.6"")PCG-71211W",1 Year  Warranty.,PCG-71211W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Sony-PCG-71211W(Core I3 M370 2.40GHz/4GB/500GB 15.6"")PCG-71211W",simple,1 Year  Warranty.,10.8V--4400mAh,0.00,No,White
admin,base,Laptops,simple,"3,11",SYGNBQB0496,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Vostro 3300(Core I5 M520 2.40GHz/4GB/500GB 14.0"")Vostro 3300",1 Year  Warranty.,Vostro 3300,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Vostro 3300(Core I5 M520 2.40GHz/4GB/500GB 14.0"")Vostro 3300",simple,1 Year  Warranty.,14.8V--48Wh,0.00,No,Red
admin,base,Laptops,simple,"3,11",QCNBB001959,2,No,"Catalog, Search",GST0.36,Acer,Core i3,QCNBK-B,"Acer-Aspire 4740(Core I3 M330 ,2.13GHz /2GB/320GB 14"")Aspire 4740",1 Year  Warranty.,Aspire 4740,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Acer-Aspire 4740(Core I3 M330 ,2.13GHz /2GB/320GB 14"")Aspire 4740",simple,1 Year  Warranty.,11.1V--4.05AH,0.00,No,Blue
admin,base,Laptops,simple,"3,11",SYGNBQB0497,2,No,"Catalog, Search",GST0.36,Lenovo,,QCNBK-B,"Lenovo-G580(Pentium CPU B950 2.10GHz/4GB/320GB 15.6"")G580",1 Year  Warranty.,G580,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Lenovo-G580(Pentium CPU B950 2.10GHz/4GB/320GB 15.6"")G580",simple,1 Year  Warranty.,11.1V--4800mAh,0.00,No,Black
admin,base,Laptops,simple,"3,11",QCNBB001949,2,No,"Catalog, Search",GST0.36,HP,Core i7,QCNBK-B,"HP-Pavilion Dv6-6140tx(Core i7 2630M 2.00GHz/8GB/750GB 15.6"")Pavilion Dv6-6140tx",1 Year  Warranty.,Pavilion Dv6-6140tx,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"HP-Pavilion Dv6-6140tx(Core i7 2630M 2.00GHz/8GB/750GB 15.6"")Pavilion Dv6-6140tx",simple,1 Year  Warranty.,10.8V--4700mAh,0.00,No,Brown
admin,base,Laptops,simple,"3,11",SYGNBQB0498,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Insp N5010(Core i5 M480 2.53GHz/4GB/500GB 15.6"")Insp N5010",1 Year  Warranty.,Insp N5010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Insp N5010(Core i5 M480 2.53GHz/4GB/500GB 15.6"")Insp N5010",simple,1 Year  Warranty.,11.1V--48Wh,0.00,No,Grey
admin,base,Laptops,simple,"3,11",QCNBB001960,2,No,"Catalog, Search",GST0.36,SONY,,QCNBK-B,"SONY-PCG 3A4L(Core 2 Duo T5550 1.83GHz/3GB/250GB 14"")PCG 3A4L",1 Year  Warranty.,PCG 3A4L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"SONY-PCG 3A4L(Core 2 Duo T5550 1.83GHz/3GB/250GB 14"")PCG 3A4L",simple,1 Year  Warranty.,11.1V--115WH,0.00,No,Silver
admin,base,Laptops,simple,"3,11",SYGNBQB0499,2,No,"Catalog, Search",GST0.36,Apple,Core i7,QCNBK-B,"Apple-Mac book A1278(Core i7 2.50GHz/4GB/500GB 13.3"")Mac book A1278",1 Year  Warranty.,Mac book A1278,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Apple-Mac book A1278(Core i7 2.50GHz/4GB/500GB 13.3"")Mac book A1278",simple,1 Year  Warranty.,Inbuild,0.00,No,Silver
admin,base,Laptops,simple,"3,11",SYGNBQB0500,2,No,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Studio 1458(Core I5 M430 2.27GHz/4GB/320GB 14.1"")Studio 1458",1 Year  Warranty.,Studio 1458,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by 1 year Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,"Dell-Studio 1458(Core I5 M430 2.27GHz/4GB/320GB 14.1"")Studio 1458",simple,1 Year  Warranty.,11.1V--85Wh,0.00,No,Black
